Index, Delay
0, 4074
1, 3972
2, 3809
3, 3614
4, 3382
5, 3389
6, 3152
7, 3013
8, 2840
9, 2702
10, 2536
11, 2478
12, 2292
13, 2170
14, 1925
15, 1828
16, 1704
17, 1567
18, 1436
19, 1393
20, 1234
21, 1117
22, 1032
23, 874
24, 845
25, 765
26, 691
27, 589
28, 540
29, 473
30, 411
31, 384
32, 326
33, 283
34, 253
35, 218
36, 200
37, 194
38, 153
39, 122
40, 115
41, 93
42, 105
43, 66
44, 64
45, 52
46, 61
47, 38
48, 29
49, 33
50, 33
51, 16
52, 17
53, 17
54, 11
55, 13
56, 11
57, 12
58, 10
59, 8
60, 5
61, 7
62, 1
63, 3
64, 2
65, 0
66, 1
67, 1
68, 3
69, 2
70, 1
71, 0
72, 0
73, 0
74, 0
75, 0
76, 0
77, 0
78, 0
79, 0
80, 1
