Index, Delay
0, 3965
1, 3855
2, 3801
3, 3607
4, 3563
5, 3381
6, 3221
7, 2995
8, 2872
9, 2707
10, 2583
11, 2573
12, 2185
13, 2160
14, 2049
15, 1916
16, 1722
17, 1508
18, 1481
19, 1324
20, 1286
21, 1189
22, 1014
23, 964
24, 837
25, 781
26, 659
27, 577
28, 515
29, 481
30, 448
31, 413
32, 340
33, 286
34, 238
35, 206
36, 224
37, 166
38, 155
39, 137
40, 116
41, 110
42, 89
43, 80
44, 58
45, 56
46, 48
47, 34
48, 33
49, 31
50, 17
51, 31
52, 23
53, 13
54, 11
55, 10
56, 10
57, 7
58, 9
59, 5
60, 5
61, 3
62, 8
63, 2
64, 2
65, 3
66, 0
67, 1
68, 2
69, 0
70, 1
71, 0
72, 0
73, 1
74, 1
