Index, Delay
-100, 0
-99, 0
-98, 0
-97, 0
-96, 0
-95, 0
-94, 0
-93, 0
-92, 0
-91, 0
-90, 0
-89, 0
-88, 0
-87, 0
-86, 0
-85, 0
-84, 0
-83, 0
-82, 0
-81, 0
-80, 0
-79, 0
-78, 0
-77, 0
-76, 0
-75, 0
-74, 0
-73, 0
-72, 0
-71, 0
-70, 0
-69, 0
-68, 0
-67, 0
-66, 0
-65, 0
-64, 0
-63, 0
-62, 0
-61, 0
-60, 0
-59, 166
-58, 185
-57, 173
-56, 191
-55, 171
-54, 182
-53, 166
-52, 154
-51, 138
-50, 145
-49, 120
-48, 137
-47, 140
-46, 124
-45, 109
-44, 127
-43, 138
-42, 92
-41, 105
-40, 99
-39, 111
-38, 95
-37, 88
-36, 88
-35, 82
-34, 79
-33, 73
-32, 91
-31, 82
-30, 64
-29, 69
-28, 49
-27, 51
-26, 42
-25, 53
-24, 36
-23, 43
-22, 35
-21, 44
-20, 21
-19, 24
-18, 24
-17, 21
-16, 26
-15, 24
-14, 21
-13, 20
-12, 14
-11, 25
-10, 14
-9, 13
-8, 14
-7, 8
-6, 9
-5, 7
-4, 11
-3, 7
-2, 9
-1, 5
0, 11
1, 4
2, 4
3, 1
4, 3
5, 3
6, 3
7, 1
8, 1
9, 2
10, 1
11, 4
12, 4
13, 0
14, 1
15, 0
16, 0
17, 1
18, 0
19, 2
20, 0
21, 0
22, 0
23, 1
24, 0
25, 0
26, 0
27, 1
