Index, Prevision
-40, 1
-39, 3
-38, 2
-37, 5
-36, 5
-35, 6
-34, 7
-33, 15
-32, 12
-31, 30
-30, 23
-29, 23
-28, 33
-27, 38
-26, 63
-25, 69
-24, 68
-23, 74
-22, 105
-21, 143
-20, 172
-19, 221
-18, 227
-17, 283
-16, 389
-15, 428
-14, 506
-13, 629
-12, 782
-11, 931
-10, 1152
-9, 1309
-8, 1580
-7, 1939
-6, 2238
-5, 2767
-4, 3066
-3, 3798
-2, 4455
-1, 5190
0, 8430
1, 2515
2, 2606
3, 2534
4, 2305
5, 1904
6, 1548
7, 1305
8, 1288
9, 1108
10, 893
11, 821
12, 703
13, 508
14, 491
15, 388
16, 309
17, 273
18, 217
19, 180
20, 140
21, 85
22, 71
23, 53
24, 30
25, 19
26, 15
27, 11
28, 8
29, 3
30, 0
31, 2
