Index, Delay
0, 5196
1, 5166
2, 5082
3, 4904
4, 4954
5, 4809
6, 4677
7, 4540
8, 4461
9, 4379
10, 4234
11, 4260
12, 4287
13, 4205
14, 4156
15, 4096
16, 3871
17, 3818
18, 3790
19, 3788
20, 3612
21, 3515
22, 3524
23, 3413
24, 3291
25, 3249
26, 3243
27, 3121
28, 3125
29, 3045
30, 2905
31, 2901
32, 2814
33, 2767
34, 2727
35, 2658
36, 2544
37, 2493
38, 2333
39, 2360
40, 2251
41, 2216
42, 2096
43, 2043
44, 1973
45, 1942
46, 1862
47, 1936
48, 1801
49, 1791
50, 1683
51, 1606
52, 1541
53, 1556
54, 1481
55, 1494
56, 1454
57, 1386
58, 1336
59, 1291
60, 1227
61, 1191
62, 1143
63, 1065
64, 1142
65, 1021
66, 1024
67, 958
68, 923
69, 899
70, 846
71, 821
72, 814
73, 810
74, 773
75, 677
76, 650
77, 677
78, 695
79, 634
80, 642
81, 579
82, 554
83, 531
84, 515
85, 463
86, 453
87, 451
88, 407
89, 404
90, 361
91, 355
92, 345
93, 335
94, 323
95, 321
96, 289
97, 299
98, 269
99, 279
100, 241
101, 251
102, 191
103, 218
104, 218
105, 206
106, 209
107, 200
108, 180
109, 159
110, 159
111, 170
112, 143
113, 119
114, 127
115, 121
116, 116
117, 120
118, 95
119, 120
120, 92
121, 101
122, 89
123, 94
124, 92
125, 72
126, 95
127, 77
128, 81
129, 66
130, 51
131, 62
132, 63
133, 55
134, 59
135, 52
136, 46
137, 54
138, 31
139, 40
140, 48
141, 42
142, 43
143, 41
144, 23
145, 27
146, 33
147, 18
148, 25
149, 24
150, 25
151, 19
152, 19
153, 28
154, 18
155, 15
156, 24
157, 22
158, 17
159, 8
160, 10
161, 16
162, 15
163, 9
164, 10
165, 12
166, 12
167, 6
168, 10
169, 20
170, 9
171, 5
172, 7
173, 8
174, 6
175, 13
176, 4
177, 5
178, 6
179, 3
180, 7
181, 3
182, 5
183, 4
184, 2
185, 4
186, 5
187, 2
188, 1
189, 3
190, 6
191, 4
192, 5
193, 1
194, 4
195, 2
196, 1
197, 2
198, 4
199, 2
200, 1
201, 1
202, 0
203, 2
204, 0
205, 0
206, 1
207, 0
208, 0
209, 0
210, 3
211, 2
212, 2
213, 1
214, 1
215, 0
216, 2
217, 0
218, 1
219, 0
220, 0
221, 0
222, 1
223, 1
224, 1
225, 0
226, 0
227, 2
228, 0
229, 0
230, 1
231, 2
232, 1
233, 0
234, 0
235, 0
236, 0
237, 0
238, 0
239, 0
240, 0
241, 0
242, 0
243, 0
244, 0
245, 0
246, 0
247, 0
248, 0
249, 0
250, 0
251, 0
252, 0
253, 1
