Index, Delay
0, 7861
1, 7484
2, 7530
3, 7258
4, 7042
5, 6910
6, 6601
7, 6479
8, 6376
9, 6226
10, 5948
11, 5996
12, 5817
13, 5498
14, 5630
15, 5355
16, 5218
17, 5026
18, 5039
19, 5007
20, 4801
21, 4780
22, 4524
23, 4573
24, 4393
25, 4298
26, 4167
27, 4137
28, 3992
29, 3880
30, 3844
31, 3595
32, 3636
33, 3532
34, 3454
35, 3345
36, 3293
37, 3231
38, 3091
39, 3085
40, 2953
41, 2960
42, 2860
43, 2778
44, 2690
45, 2653
46, 2634
47, 2577
48, 2599
49, 2522
50, 2513
51, 2237
52, 2233
53, 2123
54, 2114
55, 2085
56, 2133
57, 2095
58, 1884
59, 1986
60, 1854
61, 1927
62, 1867
63, 1778
64, 1796
65, 1671
66, 1729
67, 1578
68, 1579
69, 1545
70, 1453
71, 1484
72, 1442
73, 1354
74, 1346
75, 1286
76, 1340
77, 1295
78, 1227
79, 1234
80, 1224
81, 1178
82, 1179
83, 1095
84, 1058
85, 1046
86, 1063
87, 943
88, 995
89, 987
90, 897
91, 895
92, 914
93, 833
94, 835
95, 771
96, 724
97, 698
98, 732
99, 759
100, 739
101, 678
102, 698
103, 653
104, 651
105, 648
106, 651
107, 579
108, 570
109, 507
110, 514
111, 536
112, 534
113, 507
114, 546
115, 499
116, 475
117, 511
118, 452
119, 492
120, 472
121, 410
122, 416
123, 422
124, 411
125, 385
126, 394
127, 401
128, 366
129, 381
130, 376
131, 353
132, 336
133, 364
134, 345
135, 362
136, 338
137, 315
138, 285
139, 300
140, 286
141, 264
142, 286
143, 287
144, 277
145, 295
146, 249
147, 239
148, 248
149, 230
150, 242
151, 240
152, 229
153, 229
154, 184
155, 205
156, 197
157, 203
158, 192
159, 204
160, 183
161, 182
162, 211
163, 175
164, 163
165, 160
166, 192
167, 154
168, 149
169, 131
170, 115
171, 105
172, 107
173, 92
174, 119
175, 94
176, 104
177, 93
178, 104
179, 81
180, 74
181, 79
182, 77
183, 80
184, 95
185, 62
186, 63
187, 64
188, 64
189, 66
190, 62
191, 47
192, 57
193, 53
194, 48
195, 60
196, 42
197, 60
198, 58
199, 54
200, 46
201, 48
202, 44
203, 37
204, 47
205, 38
206, 33
207, 31
208, 31
209, 26
210, 31
211, 28
212, 25
213, 21
214, 19
215, 26
216, 31
217, 35
218, 31
219, 23
220, 15
221, 12
222, 19
223, 14
224, 15
225, 19
226, 16
227, 11
228, 7
229, 11
230, 10
231, 6
232, 10
233, 8
234, 12
235, 11
236, 17
237, 12
238, 21
239, 10
240, 15
241, 14
242, 16
243, 18
244, 15
245, 17
246, 14
247, 15
248, 18
249, 15
250, 20
251, 13
252, 15
253, 12
254, 8
255, 7
256, 5
257, 8
258, 6
259, 11
260, 7
261, 10
262, 9
263, 12
264, 7
265, 12
266, 15
267, 7
268, 7
269, 5
270, 8
271, 3
272, 9
273, 6
274, 11
275, 9
276, 8
277, 6
278, 8
279, 3
280, 3
281, 7
282, 2
283, 1
284, 4
285, 10
286, 9
287, 9
288, 8
289, 7
290, 4
291, 3
292, 2
293, 2
294, 2
295, 2
296, 1
297, 2
298, 1
299, 4
300, 1
301, 0
302, 1
