Index, Delay
0, 6482
1, 6374
2, 6205
3, 5927
4, 5682
5, 5512
6, 5459
7, 5199
8, 5078
9, 4899
10, 4802
11, 4734
12, 4433
13, 4430
14, 4183
15, 4050
16, 4004
17, 3818
18, 3847
19, 3555
20, 3514
21, 3524
22, 3333
23, 3249
24, 3159
25, 3018
26, 2910
27, 2730
28, 2754
29, 2583
30, 2542
31, 2511
32, 2456
33, 2238
34, 2196
35, 2128
36, 2044
37, 2004
38, 1875
39, 1847
40, 1848
41, 1648
42, 1626
43, 1592
44, 1529
45, 1499
46, 1424
47, 1381
48, 1362
49, 1237
50, 1234
51, 1253
52, 1164
53, 1115
54, 1028
55, 1087
56, 1047
57, 924
58, 895
59, 898
60, 810
61, 818
62, 785
63, 684
64, 763
65, 706
66, 649
67, 651
68, 616
69, 576
70, 605
71, 533
72, 561
73, 476
74, 474
75, 439
76, 454
77, 466
78, 414
79, 385
80, 350
81, 389
82, 350
83, 361
84, 326
85, 293
86, 309
87, 302
88, 243
89, 272
90, 248
91, 225
92, 224
93, 211
94, 198
95, 181
96, 166
97, 168
98, 156
99, 139
100, 166
101, 150
102, 150
103, 117
104, 125
105, 117
106, 112
107, 114
108, 95
109, 105
110, 103
111, 97
112, 101
113, 74
114, 83
115, 59
116, 69
117, 67
118, 76
119, 59
120, 44
121, 58
122, 53
123, 50
124, 48
125, 42
126, 44
127, 35
128, 47
129, 42
130, 45
131, 29
132, 38
133, 29
134, 32
135, 29
136, 22
137, 28
138, 18
139, 28
140, 28
141, 15
142, 21
143, 29
144, 17
145, 21
146, 29
147, 11
148, 13
149, 9
150, 13
151, 19
152, 14
153, 16
154, 16
155, 6
156, 6
157, 6
158, 10
159, 9
160, 10
161, 6
162, 6
163, 4
164, 4
165, 12
166, 2
167, 7
168, 6
169, 5
170, 4
171, 1
172, 1
173, 7
174, 8
175, 5
176, 3
177, 2
178, 2
179, 6
180, 2
181, 2
182, 3
183, 3
184, 1
185, 3
186, 3
187, 2
188, 2
189, 2
190, 1
191, 4
192, 0
193, 1
194, 0
195, 0
196, 1
197, 5
198, 0
199, 1
200, 1
201, 2
202, 0
203, 0
204, 1
205, 1
206, 1
207, 0
208, 1
209, 0
210, 0
211, 0
212, 2
213, 0
214, 1
215, 0
216, 0
217, 0
218, 0
219, 0
220, 0
221, 0
222, 0
223, 0
224, 1
225, 0
226, 0
227, 0
228, 0
229, 0
230, 1
231, 1
232, 0
233, 1
234, 0
235, 0
236, 0
237, 0
238, 0
239, 0
240, 0
241, 0
242, 0
243, 0
244, 0
245, 0
246, 1
247, 0
248, 0
249, 0
250, 0
251, 0
252, 0
253, 0
254, 0
255, 1
